ID,max df,standard error,time of max df,standard error,max y,standard error
MS_R1_A17+M7_C1,9.76E+00,7.04E-03,1.31E-01,6.85E-04,3.77E-01,2.74E-04
MS_R1_A17+M7_C2,1.01E+01,5.86E-03,1.53E-01,0.00E+00,3.33E-01,2.10E-04
MS_R1_A17+M7_C3,1.02E+01,6.51E-03,1.37E-01,4.35E-04,3.51E-01,1.66E-04
MS_R1_A17+M7_C4,9.89E+00,5.75E-03,1.53E-01,2.37E-04,3.48E-01,2.09E-04
MS_R1_A17+M7_C5,9.82E+00,5.23E-03,1.40E-01,3.03E-04,3.43E-01,2.11E-04
MS_R1_A17+M7_C6,1.02E+01,8.82E-03,1.53E-01,3.03E-04,3.37E-01,2.90E-04
MS_R1_A17+M7_C7,1.02E+01,7.95E-03,1.15E-01,6.30E-04,3.34E-01,1.52E-04
MS_R1_A17+M7_C8,9.42E+00,6.97E-03,1.38E-01,4.68E-04,3.50E-01,1.83E-04
MS_R1_A17+M7_C9,8.20E+00,6.36E-03,1.44E-01,7.77E-04,3.39E-01,9.74E-05
MS_R1_A17+M7_C10,9.26E+00,5.91E-03,1.34E-01,6.71E-04,3.76E-01,1.75E-04
MS_R1_A17+M7_C11,9.79E+00,6.26E-03,1.52E-01,3.30E-04,3.38E-01,1.55E-04
MS_R1_A17+M7_C12,8.98E+00,6.36E-03,1.31E-01,7.35E-04,3.54E-01,9.13E-05
MS_R1_A17+M7_C13,9.92E+00,7.69E-03,1.39E-01,1.38E-04,3.33E-01,2.35E-04
MS_R1_A17+M7_C14,9.69E+00,6.25E-03,1.40E-01,3.77E-04,3.26E-01,1.89E-04
MS_R1_A17+M7_C15,9.83E+00,6.99E-03,1.39E-01,1.38E-04,3.28E-01,2.35E-04
MS_R1_A17+M7_C16,8.73E+00,6.37E-03,1.48E-01,7.22E-04,3.57E-01,1.75E-04
MS_R1_A17+M7_C17,9.95E+00,8.27E-03,1.28E-01,5.34E-04,3.24E-01,2.48E-04
MS_R1_A17+M7_C18,9.27E+00,6.66E-03,1.39E-01,3.92E-04,3.52E-01,2.26E-04
MS_R1_A17+M7_C19,9.66E+00,7.87E-03,1.42E-01,5.75E-04,3.63E-01,2.32E-04
MS_R1_A17+M7_C20,9.41E+00,7.37E-03,1.44E-01,6.74E-04,3.64E-01,2.24E-04
MS_R1_A17+M7_C21,8.92E+00,5.43E-03,1.53E-01,2.40E-04,3.60E-01,1.66E-04
MS_R1_A17+M7_C22,9.10E+00,8.88E-03,1.48E-01,6.48E-04,2.97E-01,3.05E-04
MS_R1_A17+M7_C23,9.92E+00,7.41E-03,1.67E-01,5.55E-18,3.14E-01,1.72E-04
MS_R1_A17+M7_C24,9.45E+00,2.27E-02,1.41E-01,6.32E-03,3.66E-01,1.73E-04
MS_R1_A17+M7_C25,9.73E+00,4.19E-02,1.06E-01,7.12E-03,3.50E-01,1.47E-04
MS_R1_A17+M7_C26,9.15E+00,9.78E-03,1.66E-01,2.72E-04,3.21E-01,3.64E-04
MS_R1_A17+M7_C27,9.58E+00,8.74E-03,1.45E-01,6.83E-04,3.56E-01,3.10E-04
MS_R1_A17+M7_C28,1.17E+01,5.01E-02,4.17E-02,1.39E-18,3.81E-01,9.54E-05
MS_R1_A17+M7_C29,9.44E+00,5.40E-03,1.53E-01,0.00E+00,3.51E-01,2.11E-04
MS_R1_A17+M7_C30,8.74E+00,4.27E-03,1.35E-01,1.01E-03,3.63E-01,2.28E-04
MS_R1_A17+M7_C31,1.08E+01,6.09E-03,1.25E-01,2.37E-04,4.05E-01,2.14E-04
MS_R1_A17+M7_C32,9.19E+00,5.86E-03,1.39E-01,2.78E-18,3.72E-01,2.40E-04
MS_R1_A17+M7_C33,1.03E+01,8.21E-03,1.51E-01,5.09E-04,3.65E-01,2.59E-04
MS_R1_A17+M7_C34,9.42E+00,8.20E-03,1.53E-01,1.38E-04,3.71E-01,3.26E-04
MS_R1_A17+M7_C35,9.99E+00,5.85E-03,1.39E-01,2.78E-18,3.41E-01,2.39E-04
MS_R1_A17+M7_C36,9.57E+00,6.76E-03,1.44E-01,6.67E-04,3.66E-01,2.97E-04
MS_R1_A17+M7_C37,9.68E+00,6.36E-03,1.66E-01,2.37E-04,3.35E-01,2.75E-04
MS_R1_A17+M7_C38,1.02E+01,8.71E-03,1.25E-01,1.94E-04,2.81E-01,2.05E-04
MS_R1_A17+M7_C39,9.53E+00,5.09E-03,1.67E-01,1.38E-04,4.02E-01,2.07E-04
MS_R1_A17+M7_C40,9.66E+00,6.29E-03,1.80E-01,1.38E-04,3.62E-01,2.35E-04
MS_R1_A17+M7_C41,1.00E+01,8.00E-03,1.67E-01,2.72E-04,3.30E-01,2.60E-04
MS_R1_A17+M7_C42,9.87E+00,8.20E-03,1.67E-01,5.55E-18,3.85E-01,2.78E-04
MS_R1_A17+M7_C43,1.02E+01,7.73E-03,1.58E-01,6.80E-04,3.72E-01,2.56E-04
MS_R1_A17+M7_C44,1.00E+01,1.02E-02,1.40E-01,3.30E-04,3.74E-01,3.71E-04
MS_R1_A17+M7_C45,9.53E+00,6.55E-03,1.79E-01,3.97E-04,3.70E-01,2.93E-04
MS_R1_A17+M7_C46,9.63E+00,5.12E-03,1.53E-01,1.94E-04,3.38E-01,1.62E-04
MS_R1_A17+M7_C47,8.75E+00,9.52E-03,1.26E-01,3.30E-04,2.58E-01,1.69E-04
MS_R1_A17+M7_C48,1.01E+01,6.71E-03,1.32E-01,6.94E-04,2.75E-01,1.42E-04
MS_R1_A17+M7_C49,9.85E+00,6.62E-03,1.67E-01,1.38E-04,3.40E-01,2.52E-04
MS_R1_A17+M7_C50,9.48E+00,5.68E-03,1.67E-01,5.55E-18,3.57E-01,2.14E-04
MG1655_C1,9.80E+00,8.52E-03,1.33E-01,1.13E-03,3.17E-01,1.93E-04
MG1655_C2,9.93E+00,9.82E-03,1.35E-01,6.17E-04,3.19E-01,1.80E-04
MG1655_C3,9.94E+00,1.17E-02,1.15E-01,6.40E-04,3.26E-01,1.41E-04
MG1655_C4,9.58E+00,8.41E-03,1.42E-01,5.99E-04,3.27E-01,2.72E-04
MG1655_C5,1.12E+01,7.11E-02,4.17E-02,1.39E-18,3.16E-01,1.51E-04
MG1655_C6,1.17E+01,6.80E-03,1.04E-01,6.93E-04,3.18E-01,6.38E-05
MG1655_C7,9.46E+00,1.06E-02,1.33E-01,6.92E-04,3.18E-01,2.02E-04
MG1655_C8,8.76E+00,8.14E-03,9.83E-02,4.68E-04,3.30E-01,1.75E-04
MS_R4_A12+M0_C1,1.02E+01,7.44E-03,1.03E-01,6.89E-04,3.36E-01,1.89E-04
MS_R4_A12+M0_C2,8.94E+00,7.65E-03,1.67E-01,5.55E-18,2.67E-01,2.94E-04
MS_R4_A12+M0_C3,1.13E+01,1.62E-02,5.86E-02,1.07E-03,3.42E-01,1.85E-04
MS_R4_A12+M0_C4,9.89E+00,8.65E-03,1.19E-01,7.96E-04,3.18E-01,2.85E-04
MS_R4_A12+M0_C5,1.16E+01,3.34E-02,4.67E-02,6.95E-04,3.55E-01,1.87E-04
MS_R4_A12+M0_C6,1.09E+01,1.13E-02,6.85E-02,8.16E-04,3.02E-01,1.16E-04
MS_R4_A12+M0_C7,1.07E+01,1.04E-02,1.11E-01,1.38E-04,3.26E-01,1.16E-04
MS_R4_A12+M0_C8,1.05E+01,6.65E-03,8.76E-02,6.42E-04,3.34E-01,1.26E-04
MS_R4_A12+M0_C9,9.32E+00,8.59E-03,1.69E-01,5.22E-04,2.43E-01,3.23E-04
MS_R4_A12+M0_C10,1.70E+01,8.48E-02,4.17E-02,1.39E-18,3.25E-01,2.22E-04
MS_R4_A12+M0_C11,1.06E+01,7.46E-03,1.11E-01,1.38E-04,3.25E-01,2.38E-04
MS_R4_A12+M0_C12,1.10E+01,1.25E-02,8.43E-02,1.21E-03,3.21E-01,3.72E-04
MS_R4_A12+M0_C13,1.10E+01,8.80E-03,1.00E-01,5.56E-04,3.10E-01,2.28E-04
MS_R4_A12+M0_C14,1.03E+01,2.11E-02,9.72E-02,2.78E-18,3.22E-01,2.88E-04
MS_R4_A12+M0_C15,9.74E+00,9.48E-03,9.08E-02,1.20E-03,3.10E-01,1.12E-04
MS_R4_A12+M0_C16,1.30E+01,6.64E-02,4.17E-02,1.39E-18,2.75E-01,1.88E-04
MS_R4_A12+M0_C17,8.29E+00,5.81E-03,2.13E-01,6.71E-04,2.83E-01,1.80E-04
MS_R4_A12+M0_C18,9.96E+00,8.08E-03,1.20E-01,6.74E-04,3.24E-01,2.55E-04
MS_R4_A12+M0_C19,1.19E+01,1.05E-02,9.68E-02,2.37E-04,3.05E-01,1.40E-04
